lat,lon,satelite,data
   7.798220, -61.937290,TERRA_M-M,2025-04-09 00:52:00
   7.792760, -61.931500,TERRA_M-M,2025-04-09 00:52:00
  -8.109010, -43.129040,TERRA_M-M,2025-04-09 00:48:00
  -6.013820, -43.863070,TERRA_M-M,2025-04-09 00:48:00
  -6.011360, -43.846550,TERRA_M-M,2025-04-09 00:48:00
 -14.675380, -45.818090,TERRA_M-M,2025-04-09 00:45:00
 -14.673960, -45.808370,TERRA_M-M,2025-04-09 00:45:00
 -14.666230, -45.819470,TERRA_M-M,2025-04-09 00:45:00
 -14.664810, -45.809760,TERRA_M-M,2025-04-09 00:45:00
 -13.680050, -47.761710,TERRA_M-M,2025-04-09 00:45:00
 -12.129480, -45.624790,TERRA_M-M,2025-04-09 00:45:00
 -12.105080, -45.623990,TERRA_M-M,2025-04-09 00:45:00
 -12.103560, -45.613540,TERRA_M-M,2025-04-09 00:45:00
 -12.095620, -45.625510,TERRA_M-M,2025-04-09 00:45:00
 -12.094090, -45.615060,TERRA_M-M,2025-04-09 00:45:00
 -10.731430, -42.332510,TERRA_M-M,2025-04-09 00:48:00
 -10.728540, -42.314330,TERRA_M-M,2025-04-09 00:48:00
 -10.716270, -42.316400,TERRA_M-M,2025-04-09 00:48:00
 -10.541800, -44.672000,TERRA_M-M,2025-04-09 00:48:00
  -8.863580, -49.886610,TERRA_M-M,2025-04-09 00:48:00
  -7.078800, -44.375360,TERRA_M-M,2025-04-09 00:48:00
  -7.067680, -44.377180,TERRA_M-M,2025-04-09 00:48:00
